JAX Backend: gpu
JAX Devices: [CudaDevice(id=0)]

Loaded config from: /home/kraghavan/projects/ContLearn/kkt_run/kkt/../configs/cifar10_condition2_heuristics.json
Problem type: classification
Dataset: cifar10
Tasks: 10
AWB enabled: False

Output directory: /home/kraghavan/projects/ContLearn/kkt_run/kkt/results/cifar10
Model path: /home/kraghavan/projects/ContLearn/kkt_run/kkt/results/cifar10/model


############################################################
# Run 1 / 1
############################################################
Loading CIFAR-10 dataset
CIFAR-10 data loaded: 50000 samples

============================================================
Task 0
============================================================
Standard CL training (lr=0.000100, adaptive_lr_min=1.00e-06, loss_ratio=1.00)

  0%|          | 0/250 [00:00<?, ?it/s]
  0%|          | 1/250 [00:58<4:03:52, 58.76s/it]
  1%|          | 2/250 [01:28<2:52:33, 41.75s/it]
  1%|          | 3/250 [02:01<2:36:05, 37.92s/it]
  2%|▏         | 4/250 [02:34<2:26:52, 35.82s/it]
  2%|▏         | 5/250 [03:06<2:21:10, 34.57s/it]
  2%|▏         | 6/250 [03:37<2:14:45, 33.14s/it]
  3%|▎         | 7/250 [04:09<2:12:32, 32.73s/it]
  3%|▎         | 8/250 [04:39<2:08:59, 31.98s/it]
  4%|▎         | 9/250 [05:11<2:07:48, 31.82s/it]
 10%|█         | 26/250 [14:09<1:55:25, 30.92s/it, CE=1.328207e+00 H=1.321879e+00 dV_dx=6.698661e-07 dV_dθ=-6.328613e-03 ||∇||=3.136035e+00 | Tr=0.5355 Te/Cur=0.5375 Te/Exp=0.5339]
 11%|█         | 27/250 [14:38<1:53:12, 30.46s/it, CE=1.328207e+00 H=1.321879e+00 dV_dx=6.698661e-07 dV_dθ=-6.328613e-03 ||∇||=3.136035e+00 | Tr=0.5355 Te/Cur=0.5375 Te/Exp=0.5339]
 11%|█         | 28/250 [15:08<1:52:39, 30.45s/it, CE=1.328207e+00 H=1.321879e+00 dV_dx=6.698661e-07 dV_dθ=-6.328613e-03 ||∇||=3.136035e+00 | Tr=0.5355 Te/Cur=0.5375 Te/Exp=0.5339]
 12%|█▏        | 29/250 [15:40<1:53:52, 30.92s/it, CE=1.328207e+00 H=1.321879e+00 dV_dx=6.698661e-07 dV_dθ=-6.328613e-03 ||∇||=3.136035e+00 | Tr=0.5355 Te/Cur=0.5375 Te/Exp=0.5339]
 12%|█▏        | 30/250 [16:12<1:54:28, 31.22s/it, CE=1.328207e+00 H=1.321879e+00 dV_dx=6.698661e-07 dV_dθ=-6.328613e-03 ||∇||=3.136035e+00 | Tr=0.5355 Te/Cur=0.5375 Te/Exp=0.5339]
 12%|█▏        | 30/250 [16:48<1:54:28, 31.22s/it, CE=1.222864e+00 H=1.214106e+00 dV_dx=4.564981e-07 dV_dθ=-8.758754e-03 ||∇||=3.625824e+00 | Tr=0.5742 Te/Cur=0.5671 Te/Exp=0.5679]
 12%|█▏        | 31/250 [16:48<1:58:44, 32.53s/it, CE=1.222864e+00 H=1.214106e+00 dV_dx=4.564981e-07 dV_dθ=-8.758754e-03 ||∇||=3.625824e+00 | Tr=0.5742 Te/Cur=0.5671 Te/Exp=0.5679]
 13%|█▎        | 32/250 [17:16<1:53:05, 31.13s/it, CE=1.222864e+00 H=1.214106e+00 dV_dx=4.564981e-07 dV_dθ=-8.758754e-03 ||∇||=3.625824e+00 | Tr=0.5742 Te/Cur=0.5671 Te/Exp=0.5679]
 13%|█▎        | 33/250 [17:43<1:48:29, 30.00s/it, CE=1.222864e+00 H=1.214106e+00 dV_dx=4.564981e-07 dV_dθ=-8.758754e-03 ||∇||=3.625824e+00 | Tr=0.5742 Te/Cur=0.5671 Te/Exp=0.5679]
 14%|█▎        | 34/250 [18:20<1:55:03, 31.96s/it, CE=1.222864e+00 H=1.214106e+00 dV_dx=4.564981e-07 dV_dθ=-8.758754e-03 ||∇||=3.625824e+00 | Tr=0.5742 Te/Cur=0.5671 Te/Exp=0.5679]
