JAX Backend: gpu
JAX Devices: [CudaDevice(id=0)]

Loaded config from: /home/kraghavan/projects/ContLearn/kkt_run/kkt/../configs/mnist_condition2_heuristics.json
Problem type: classification
Dataset: mnist
Tasks: 10
AWB enabled: False

Output directory: /home/kraghavan/projects/ContLearn/kkt_run/kkt/results/mnist
Model path: /home/kraghavan/projects/ContLearn/kkt_run/kkt/results/mnist/model


############################################################
# Run 1 / 1
############################################################
Loading MNIST dataset

============================================================
Task 0
============================================================
Standard CL training (lr=0.000100, adaptive_lr_min=1.00e-06, loss_ratio=1.00)

  0%|          | 0/150 [00:00<?, ?it/s]
  1%|          | 1/150 [00:15<38:00, 15.31s/it]
  7%|▋         | 10/150 [01:00<12:05,  5.18s/it, CE=2.657125e-01 H=2.655388e-01 dV_dx=6.495061e-07 dV_dθ=-1.743090e-04 ||∇||=3.924750e-01 | Tr=0.9243]
  7%|▋         | 10/150 [01:05<12:05,  5.18s/it, CE=2.495352e-01 H=2.493892e-01 dV_dx=1.080381e-07 dV_dθ=-1.460484e-04 ||∇||=3.716078e-01 | Tr=0.9284]
  7%|▋         | 11/150 [01:05<11:47,  5.09s/it, CE=2.495352e-01 H=2.493892e-01 dV_dx=1.080381e-07 dV_dθ=-1.460484e-04 ||∇||=3.716078e-01 | Tr=0.9284]
  7%|▋         | 11/150 [01:10<11:47,  5.09s/it, CE=2.355948e-01 H=2.354680e-01 dV_dx=1.064796e-06 dV_dθ=-1.278844e-04 ||∇||=3.575623e-01 | Tr=0.9322]
  8%|▊         | 12/150 [01:10<11:37,  5.05s/it, CE=2.355948e-01 H=2.354680e-01 dV_dx=1.064796e-06 dV_dθ=-1.278844e-04 ||∇||=3.575623e-01 | Tr=0.9322]
  8%|▊         | 12/150 [01:15<11:37,  5.05s/it, CE=2.232702e-01 H=2.231543e-01 dV_dx=-3.318063e-07 dV_dθ=-1.155401e-04 ||∇||=3.474327e-01 | Tr=0.9358]
  9%|▊         | 13/150 [01:15<11:38,  5.10s/it, CE=2.232702e-01 H=2.231543e-01 dV_dx=-3.318063e-07 dV_dθ=-1.155401e-04 ||∇||=3.474327e-01 | Tr=0.9358]
  9%|▊         | 13/150 [01:20<11:38,  5.10s/it, CE=2.122138e-01 H=2.121073e-01 dV_dx=1.108708e-06 dV_dθ=-1.076714e-04 ||∇||=3.403676e-01 | Tr=0.9388] 
  9%|▉         | 14/150 [01:20<11:29,  5.07s/it, CE=2.122138e-01 H=2.121073e-01 dV_dx=1.108708e-06 dV_dθ=-1.076714e-04 ||∇||=3.403676e-01 | Tr=0.9388]
  9%|▉         | 14/150 [01:25<11:29,  5.07s/it, CE=2.021568e-01 H=2.020575e-01 dV_dx=1.940881e-06 dV_dθ=-1.012461e-04 ||∇||=3.346879e-01 | Tr=0.9420]
 10%|█         | 15/150 [01:25<11:15,  5.00s/it, CE=2.021568e-01 H=2.020575e-01 dV_dx=1.940881e-06 dV_dθ=-1.012461e-04 ||∇||=3.346879e-01 | Tr=0.9420]
 10%|█         | 15/150 [01:30<11:15,  5.00s/it, CE=1.929347e-01 H=1.928402e-01 dV_dx=1.312612e-06 dV_dθ=-9.582457e-05 ||∇||=3.296584e-01 | Tr=0.9449]
 11%|█         | 16/150 [01:30<11:05,  4.96s/it, CE=1.929347e-01 H=1.928402e-01 dV_dx=1.312612e-06 dV_dθ=-9.582457e-05 ||∇||=3.296584e-01 | Tr=0.9449]
 11%|█         | 16/150 [01:35<11:05,  4.96s/it, CE=1.844236e-01 H=1.843321e-01 dV_dx=-1.566109e-07 dV_dθ=-9.128483e-05 ||∇||=3.251671e-01 | Tr=0.9474]
 11%|█▏        | 17/150 [01:35<11:03,  4.99s/it, CE=1.844236e-01 H=1.843321e-01 dV_dx=-1.566109e-07 dV_dθ=-9.128483e-05 ||∇||=3.251671e-01 | Tr=0.9474]
 11%|█▏        | 17/150 [01:40<11:03,  4.99s/it, CE=1.765382e-01 H=1.764511e-01 dV_dx=6.851696e-07 dV_dθ=-8.780078e-05 ||∇||=3.217098e-01 | Tr=0.9500] 
 12%|█▏        | 18/150 [01:40<11:02,  5.02s/it, CE=1.765382e-01 H=1.764511e-01 dV_dx=6.851696e-07 dV_dθ=-8.780078e-05 ||∇||=3.217098e-01 | Tr=0.9500]
 12%|█▏        | 18/150 [01:45<11:02,  5.02s/it, CE=1.692190e-01 H=1.691364e-01 dV_dx=1.399180e-06 dV_dθ=-8.402090e-05 ||∇||=3.183725e-01 | Tr=0.9521]
 13%|█▎        | 19/150 [01:45<10:56,  5.01s/it, CE=1.692190e-01 H=1.691364e-01 dV_dx=1.399180e-06 dV_dθ=-8.402090e-05 ||∇||=3.183725e-01 | Tr=0.9521]
 13%|█▎        | 19/150 [01:50<10:56,  5.01s/it, CE=1.624024e-01 H=1.623219e-01 dV_dx=2.962279e-07 dV_dθ=-8.078531e-05 ||∇||=3.157675e-01 | Tr=0.9544]
 13%|█▎        | 20/150 [01:50<10:52,  5.02s/it, CE=1.624024e-01 H=1.623219e-01 dV_dx=2.962279e-07 dV_dθ=-8.078531e-05 ||∇||=3.157675e-01 | Tr=0.9544]
 13%|█▎        | 20/150 [01:55<10:52,  5.02s/it, CE=1.560483e-01 H=1.559689e-01 dV_dx=-1.025724e-06 dV_dθ=-7.839093e-05 ||∇||=3.133969e-01 | Tr=0.9561]
 14%|█▍        | 21/150 [01:55<10:35,  4.93s/it, CE=1.560483e-01 H=1.559689e-01 dV_dx=-1.025724e-06 dV_dθ=-7.839093e-05 ||∇||=3.133969e-01 | Tr=0.9561]
 14%|█▍        | 21/150 [02:00<10:35,  4.93s/it, CE=1.501175e-01 H=1.500423e-01 dV_dx=1.168429e-06 dV_dθ=-7.630977e-05 ||∇||=3.114818e-01 | Tr=0.9578] 
 15%|█▍        | 22/150 [02:00<10:25,  4.88s/it, CE=1.501175e-01 H=1.500423e-01 dV_dx=1.168429e-06 dV_dθ=-7.630977e-05 ||∇||=3.114818e-01 | Tr=0.9578]
 15%|█▍        | 22/150 [02:05<10:25,  4.88s/it, CE=1.445642e-01 H=1.444874e-01 dV_dx=-1.700773e-06 dV_dθ=-7.513291e-05 ||∇||=3.100584e-01 | Tr=0.9596]
 15%|█▌        | 23/150 [02:05<10:33,  4.99s/it, CE=1.445642e-01 H=1.444874e-01 dV_dx=-1.700773e-06 dV_dθ=-7.513291e-05 ||∇||=3.100584e-01 | Tr=0.9596]
 15%|█▌        | 23/150 [02:10<10:33,  4.99s/it, CE=1.393497e-01 H=1.392743e-01 dV_dx=-1.374020e-06 dV_dθ=-7.399666e-05 ||∇||=3.090717e-01 | Tr=0.9613]
 16%|█▌        | 24/150 [02:10<10:27,  4.98s/it, CE=1.393497e-01 H=1.392743e-01 dV_dx=-1.374020e-06 dV_dθ=-7.399666e-05 ||∇||=3.090717e-01 | Tr=0.9613]
 16%|█▌        | 24/150 [02:15<10:27,  4.98s/it, CE=1.344308e-01 H=1.343589e-01 dV_dx=1.270133e-06 dV_dθ=-7.313922e-05 ||∇||=3.084211e-01 | Tr=0.9627] 
 17%|█▋        | 25/150 [02:15<10:20,  4.96s/it, CE=1.344308e-01 H=1.343589e-01 dV_dx=1.270133e-06 dV_dθ=-7.313922e-05 ||∇||=3.084211e-01 | Tr=0.9627]
 17%|█▋        | 25/150 [02:20<10:20,  4.96s/it, CE=1.297832e-01 H=1.297115e-01 dV_dx=6.441470e-07 dV_dθ=-7.233856e-05 ||∇||=3.074531e-01 | Tr=0.9642]
