JAX Backend: gpu
JAX Devices: [CudaDevice(id=0)]

Loaded config from: runs__/configs/mnist_condition4_awb_full.json
Problem type: classification
Dataset: mnist
Tasks: 10
AWB enabled: True


############################################################
# Run 1 / 1
############################################################
Loading MNIST dataset

============================================================
Task 0
============================================================
Standard CL training (lr=0.000100, adaptive_lr_min=1.00e-06, loss_ratio=1.00)
[DEBUG] PrefetchDataLoader initialized with device: cuda:0
[DEBUG] All available JAX devices: [CudaDevice(id=0)]
[DEBUG] PrefetchDataLoader initialized with device: cuda:0
[DEBUG] All available JAX devices: [CudaDevice(id=0)]

  0%|          | 0/150 [00:00<?, ?it/s]
  1%|          | 1/150 [00:18<45:18, 18.25s/it]
 10%|█         | 15/150 [01:23<10:06,  4.50s/it, CE=9.009780e-01 H=9.006223e-01 dV_dx=-3.514613e-06 dV_dθ=-3.521844e-04 ||∇||=5.090859e-01 | Tr=0.7021]
 10%|█         | 15/150 [01:28<10:06,  4.50s/it, CE=8.807320e-01 H=8.803915e-01 dV_dx=-3.915519e-07 dV_dθ=-3.401260e-04 ||∇||=5.079567e-01 | Tr=0.7083]
 11%|█         | 16/150 [01:28<10:19,  4.62s/it, CE=8.807320e-01 H=8.803915e-01 dV_dx=-3.915519e-07 dV_dθ=-3.401260e-04 ||∇||=5.079567e-01 | Tr=0.7083]
 11%|█         | 16/150 [01:33<10:19,  4.62s/it, CE=8.624129e-01 H=8.620787e-01 dV_dx=-6.943926e-07 dV_dθ=-3.334823e-04 ||∇||=5.085066e-01 | Tr=0.7142]
 11%|█▏        | 17/150 [01:33<10:29,  4.73s/it, CE=8.624129e-01 H=8.620787e-01 dV_dx=-6.943926e-07 dV_dθ=-3.334823e-04 ||∇||=5.085066e-01 | Tr=0.7142]
 11%|█▏        | 17/150 [01:38<10:29,  4.73s/it, CE=8.455685e-01 H=8.452416e-01 dV_dx=2.288358e-06 dV_dθ=-3.292110e-04 ||∇||=5.099821e-01 | Tr=0.7199] 
 12%|█▏        | 18/150 [01:38<10:44,  4.88s/it, CE=8.455685e-01 H=8.452416e-01 dV_dx=2.288358e-06 dV_dθ=-3.292110e-04 ||∇||=5.099821e-01 | Tr=0.7199]
 12%|█▏        | 18/150 [01:43<10:44,  4.88s/it, CE=8.300232e-01 H=8.296966e-01 dV_dx=1.043835e-06 dV_dθ=-3.275925e-04 ||∇||=5.118807e-01 | Tr=0.7258]
 13%|█▎        | 19/150 [01:43<10:20,  4.73s/it, CE=8.300232e-01 H=8.296966e-01 dV_dx=1.043835e-06 dV_dθ=-3.275925e-04 ||∇||=5.118807e-01 | Tr=0.7258]
 13%|█▎        | 19/150 [01:47<10:20,  4.73s/it, CE=8.155771e-01 H=8.152490e-01 dV_dx=-8.802004e-07 dV_dθ=-3.272852e-04 ||∇||=5.151208e-01 | Tr=0.7301]
 13%|█▎        | 20/150 [01:47<10:01,  4.62s/it, CE=8.155771e-01 H=8.152490e-01 dV_dx=-8.802004e-07 dV_dθ=-3.272852e-04 ||∇||=5.151208e-01 | Tr=0.7301]
 13%|█▎        | 20/150 [01:51<10:01,  4.62s/it, CE=8.020753e-01 H=8.017493e-01 dV_dx=-8.046578e-07 dV_dθ=-3.251986e-04 ||∇||=5.173338e-01 | Tr=0.7341]
 14%|█▍        | 21/150 [01:51<09:45,  4.54s/it, CE=8.020753e-01 H=8.017493e-01 dV_dx=-8.046578e-07 dV_dθ=-3.251986e-04 ||∇||=5.173338e-01 | Tr=0.7341]
 14%|█▍        | 21/150 [01:55<09:45,  4.54s/it, CE=7.894246e-01 H=7.891037e-01 dV_dx=9.503426e-07 dV_dθ=-3.218920e-04 ||∇||=5.183571e-01 | Tr=0.7382] 
 15%|█▍        | 22/150 [01:55<09:17,  4.35s/it, CE=7.894246e-01 H=7.891037e-01 dV_dx=9.503426e-07 dV_dθ=-3.218920e-04 ||∇||=5.183571e-01 | Tr=0.7382]
 15%|█▍        | 22/150 [02:00<09:17,  4.35s/it, CE=7.775758e-01 H=7.772522e-01 dV_dx=-2.134489e-06 dV_dθ=-3.215214e-04 ||∇||=5.206685e-01 | Tr=0.7415]
 15%|█▌        | 23/150 [02:00<09:37,  4.54s/it, CE=7.775758e-01 H=7.772522e-01 dV_dx=-2.134489e-06 dV_dθ=-3.215214e-04 ||∇||=5.206685e-01 | Tr=0.7415]
 15%|█▌        | 23/150 [02:05<09:37,  4.54s/it, CE=7.664064e-01 H=7.660896e-01 dV_dx=-1.364264e-06 dV_dθ=-3.154549e-04 ||∇||=5.200475e-01 | Tr=0.7452]
 16%|█▌        | 24/150 [02:05<09:41,  4.62s/it, CE=7.664064e-01 H=7.660896e-01 dV_dx=-1.364264e-06 dV_dθ=-3.154549e-04 ||∇||=5.200475e-01 | Tr=0.7452]
 16%|█▌        | 24/150 [02:10<09:41,  4.62s/it, CE=7.558532e-01 H=7.555403e-01 dV_dx=2.956127e-07 dV_dθ=-3.132316e-04 ||∇||=5.215864e-01 | Tr=0.7488] 
 17%|█▋        | 25/150 [02:10<09:47,  4.70s/it, CE=7.558532e-01 H=7.555403e-01 dV_dx=2.956127e-07 dV_dθ=-3.132316e-04 ||∇||=5.215864e-01 | Tr=0.7488]
 17%|█▋        | 25/150 [02:15<09:47,  4.70s/it, CE=7.458601e-01 H=7.455454e-01 dV_dx=-3.879272e-07 dV_dθ=-3.142226e-04 ||∇||=5.235855e-01 | Tr=0.7528]
 17%|█▋        | 26/150 [02:15<09:47,  4.74s/it, CE=7.458601e-01 H=7.455454e-01 dV_dx=-3.879272e-07 dV_dθ=-3.142226e-04 ||∇||=5.235855e-01 | Tr=0.7528]
 17%|█▋        | 26/150 [02:20<09:47,  4.74s/it, CE=7.363468e-01 H=7.360387e-01 dV_dx=2.633094e-06 dV_dθ=-3.107224e-04 ||∇||=5.245098e-01 | Tr=0.7558] 
